Company,label_clean,complaint_count,timely_rate
BBVA FINANCIAL CORPORATION,bank_account,2,1.0
U.S. BANCORP,bank_account,2,1.0
"Credit Karma, LLC",credit_reporting,2,0.5
ALLY FINANCIAL INC.,bank_account,2,1.0
"The CMI Group, Inc.",debt_collection,2,1.0
Bridgecrest Acceptance Corporation,credit_reporting,2,1.0
TOYOTA MOTOR CREDIT CORPORATION,vehicle_loan_or_lease,2,1.0
Zenith Financial Network Inc,debt_collection,1,1.0
"Northern Trust Company, The",debt_collection,1,1.0
"ONEMAIN FINANCIAL HOLDINGS, LLC.",payday_loan_title_loan_or_personal_loan,1,1.0
"American Profit Recovery, Inc., Marlborough, MA Branch",debt_collection,1,1.0
"Amsher Collection Services, Inc.",credit_reporting,1,1.0
"Amsher Collection Services, Inc.",debt_collection,1,1.0
"American Credit Acceptance, LLC",credit_reporting,1,1.0
PENTAGON FEDERAL CREDIT UNION,credit_card_or_prepaid_card,1,1.0
PERLAND TITLE & ESCROW SERVICES CORP,debt_collection,1,1.0
Alliance Data Card Services,debt_collection,1,1.0
"Advanced Collection Bureau, Inc.",debt_collection,1,1.0
"Advance America, Cash Advance Centers, Inc.",debt_collection,1,1.0
PNC Bank N.A.,mortgage,1,1.0
Ad Astra Recovery Services Inc,credit_reporting,1,1.0
"Navient Solutions, LLC.",debt_collection,1,1.0
Merchants' Credit Guide Company,debt_collection,1,1.0
"Midwest Fidelity Services, LLC",debt_collection,1,1.0
MoneyLion Inc.,bank_account,1,0.0
BBVA FINANCIAL CORPORATION,mortgage,1,1.0
MoneyLion Inc.,payday_loan_title_loan_or_personal_loan,1,1.0
BANK OF THE WEST,vehicle_loan_or_lease,1,1.0
BANK OF THE WEST,bank_account,1,1.0
NAVY FEDERAL CREDIT UNION,credit_card_or_prepaid_card,1,1.0
NAVY FEDERAL CREDIT UNION,credit_reporting,1,1.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",vehicle_loan_or_lease,1,1.0
NISSAN MOTOR ACCEPTANCE CORPORATION,vehicle_loan_or_lease,1,1.0
NAVY FEDERAL CREDIT UNION,vehicle_loan_or_lease,1,1.0
"NCC Business Services, Inc.",credit_reporting,1,1.0
"BALANCED HEALTHCARE RECEIVABLES, LLC",debt_collection,1,1.0
"Avid Acceptance, LLC",vehicle_loan_or_lease,1,1.0
