company,label_standardized,category_display,complaint_count,timely_rate,late_response_count,high_risk_count,avg_narrative_word_count
TRANSWORLD SYSTEMS INC,debt_collection,Debt Collection,1,1.0,0,0,283.0
"TRIAD FINANCIAL SERVICES, INC.",consumer_loan,Consumer Loan,1,1.0,0,0,184.0
Texas Guaranteed,student_loan,Student Loan,1,1.0,0,1,435.0
"The Allen Daniel Associates, Inc.",debt_collection,Debt Collection,1,1.0,0,1,405.0
"The CMI Group, Inc.",debt_collection,Debt Collection,2,1.0,0,2,488.5
"The Outsource Group, Inc",debt_collection,Debt Collection,1,1.0,0,0,22.0
TransferWise Ltd,money_transfer,Money Transfer,1,1.0,0,1,308.0
"Trident Asset Management, L.L.C.",debt_collection,Debt Collection,1,1.0,0,0,203.0
U.S. BANCORP,bank_account,Bank Account,2,1.0,0,2,629.5
U.S. BANCORP,credit_card_or_prepaid_card,Credit Card / Prepaid Card,6,1.0,0,3,244.33333333333334
U.S. BANCORP,credit_reporting,Credit Reporting,1,1.0,0,0,87.0
U.S. BANCORP,mortgage,Mortgage,1,1.0,0,0,269.0
UMB FINANCIAL CORPORATION,bank_account,Bank Account,1,1.0,0,1,396.0
UNITED SERVICES AUTOMOBILE ASSOCIATION,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,1,338.0
United Acceptance Inc.,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,297.0
Utah System of Higher Education,credit_reporting,Credit Reporting,1,1.0,0,0,181.0
VALLEY NATIONAL BANCORP,bank_account,Bank Account,1,1.0,0,1,313.0
"WEBSTER BANK, NATIONAL ASSOCIATION",bank_account,Bank Account,1,1.0,0,0,136.0
WELLS FARGO & COMPANY,bank_account,Bank Account,9,0.7777777777777778,2,5,308.22222222222223
WELLS FARGO & COMPANY,credit_card_or_prepaid_card,Credit Card / Prepaid Card,7,0.8571428571428571,1,2,197.28571428571428
WELLS FARGO & COMPANY,credit_reporting,Credit Reporting,5,1.0,0,0,163.6
WELLS FARGO & COMPANY,money_transfer,Money Transfer,3,1.0,0,0,195.33333333333334
WELLS FARGO & COMPANY,mortgage,Mortgage,8,1.0,0,2,209.0
"WESTERN UNION COMPANY, THE",money_transfer,Money Transfer,1,1.0,0,0,295.0
WINNPOINTE CORPORATION,mortgage,Mortgage,1,0.0,1,1,290.0
We Collect Inc,debt_collection,Debt Collection,1,1.0,0,0,181.0
Westcreek Financial,debt_collection,Debt Collection,1,1.0,0,1,310.0
"Westlake Services, LLC",credit_reporting,Credit Reporting,1,1.0,0,0,86.0
"Williams & Fudge, Inc",debt_collection,Debt Collection,1,1.0,0,0,118.0
World Acceptance Corporation,debt_collection,Debt Collection,1,1.0,0,0,62.0
World Omni Financial Corp.,credit_reporting,Credit Reporting,1,1.0,0,1,381.0
WorldRemit Corp.,money_transfer,Money Transfer,1,1.0,0,1,336.0
Worth Finance Corporation,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,1,341.0
Zenith Financial Network Inc,debt_collection,Debt Collection,1,1.0,0,0,209.0
