company,label_standardized,category_display,complaint_count,timely_rate,late_response_count,high_risk_count,avg_narrative_word_count
"CITIBANK, N.A.",credit_reporting,Credit Reporting,5,1.0,0,0,136.8
"CITIBANK, N.A.",debt_collection,Debt Collection,2,1.0,0,1,394.0
"CITIBANK, N.A.",money_transfer,Money Transfer,2,1.0,0,1,301.0
"CITIBANK, N.A.",mortgage,Mortgage,1,1.0,0,1,439.0
"CITIZENS FINANCIAL GROUP, INC.",bank_account,Bank Account,2,1.0,0,0,192.5
"CITIZENS FINANCIAL GROUP, INC.",credit_reporting,Credit Reporting,1,1.0,0,0,285.0
"CITIZENS FINANCIAL GROUP, INC.",mortgage,Mortgage,1,1.0,0,0,199.0
COAST PROFESSIONAL INC,debt_collection,Debt Collection,1,1.0,0,0,153.0
CREDIT ACCEPTANCE CORPORATION,debt_collection,Debt Collection,1,1.0,0,0,99.0
CURO Intermediate Holdings,debt_collection,Debt Collection,1,1.0,0,0,49.0
"Caliber Home Loans, Inc.",mortgage,Mortgage,2,1.0,0,1,278.0
"Capital Accounts, LLC",debt_collection,Debt Collection,1,1.0,0,0,215.0
"CarMax, Inc.",vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,64.0
"Cascade Capital, LLC",debt_collection,Debt Collection,1,1.0,0,0,188.0
Ceannate,student_loan,Student Loan,1,1.0,0,0,122.0
"Checkr, Inc",credit_reporting,Credit Reporting,1,1.0,0,1,403.0
"Choice Recovery, Inc.",debt_collection,Debt Collection,1,1.0,0,0,224.0
Clark County Collection Service,debt_collection,Debt Collection,1,1.0,0,1,357.0
"Coinbase, Inc.",money_transfer,Money Transfer,1,1.0,0,0,94.0
Collection Bureau of America Ltd.,debt_collection,Debt Collection,1,0.0,1,1,386.0
"College Ave Student Loan Servicing, LLC",student_loan,Student Loan,1,1.0,0,0,162.0
College Loan Corporation,debt_collection,Debt Collection,1,1.0,0,0,166.0
"Colony Brands, Inc.",debt_collection,Debt Collection,1,0.0,1,1,54.0
Columbia Recovery Group LLC,debt_collection,Debt Collection,1,0.0,1,1,329.0
"Commonwealth Financial Systems, Inc.",credit_reporting,Credit Reporting,2,1.0,0,0,195.0
"Commonwealth Financial Systems, Inc.",debt_collection,Debt Collection,2,1.0,0,0,56.5
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",mortgage,Mortgage,1,1.0,0,0,260.0
"Complete Credit Solutions, Inc.",debt_collection,Debt Collection,2,1.0,0,1,246.5
"Conn's, Inc.",debt_collection,Debt Collection,1,1.0,0,0,204.0
"Consumer Financial Services Solutions, Inc.",credit_reporting,Credit Reporting,1,1.0,0,0,152.0
"Continental Finance Company, LLC",debt_collection,Debt Collection,1,1.0,0,1,381.0
"Convergent Resources, Inc.",credit_reporting,Credit Reporting,1,1.0,0,0,60.0
"Convergent Resources, Inc.",debt_collection,Debt Collection,3,1.0,0,0,120.0
Credit Corp Solutions Inc.,debt_collection,Debt Collection,1,1.0,0,0,218.0
"Credit Karma, LLC",credit_reporting,Credit Reporting,2,0.5,1,1,125.0
"Credit Protection Association, L.P.",debt_collection,Debt Collection,2,1.0,0,0,120.5
Creditors Bureau Associates,debt_collection,Debt Collection,1,1.0,0,0,39.0
DISCOVER BANK,credit_card_or_prepaid_card,Credit Card / Prepaid Card,4,1.0,0,2,376.25
DISCOVER BANK,credit_reporting,Credit Reporting,1,1.0,0,1,544.0
DISCOVER BANK,debt_collection,Debt Collection,2,1.0,0,1,430.0
"Direct Recovery Services, LLC",debt_collection,Debt Collection,1,1.0,0,1,301.0
Ditech Financial LLC,mortgage,Mortgage,3,1.0,0,1,249.66666666666666
"Diversified Consultants, Inc.",debt_collection,Debt Collection,4,1.0,0,1,192.5
"Dovenmuehle Mortgage, Inc.",mortgage,Mortgage,2,1.0,0,1,308.5
ENCORE CAPITAL GROUP INC.,debt_collection,Debt Collection,7,1.0,0,2,420.14285714285717
"ENOVA INTERNATIONAL, INC.",payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,0,64.0
"EQUIFAX, INC.",credit_reporting,Credit Reporting,113,0.9911504424778761,1,19,180.67256637168143
"EQUIFAX, INC.",debt_collection,Debt Collection,5,1.0,0,1,216.0
ERC,credit_reporting,Credit Reporting,2,1.0,0,0,255.0
ERC,debt_collection,Debt Collection,2,1.0,0,0,172.5
ETHOS LENDING LLC,mortgage,Mortgage,1,1.0,0,1,300.0
EXCEL FINANCE COMPANY,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,0,99.0
"Eagle Accounts Group, Inc.",credit_reporting,Credit Reporting,1,1.0,0,0,156.0
Earnest Inc.,student_loan,Student Loan,1,1.0,0,0,187.0
Eaton Group Attorneys LLC,debt_collection,Debt Collection,1,1.0,0,1,318.0
Equitable Acceptance Corp,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,1,337.0
Equitable Acceptance Corp,student_loan,Student Loan,1,1.0,0,0,148.0
Exeter Finance Corp.,debt_collection,Debt Collection,1,1.0,0,0,53.0
Exeter Finance Corp.,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,286.0
Experian Information Solutions Inc.,credit_card_or_prepaid_card,Credit Card / Prepaid Card,1,1.0,0,0,190.0
Experian Information Solutions Inc.,credit_reporting,Credit Reporting,115,1.0,0,18,165.95652173913044
"FAIR COLLECTIONS & OUTSOURCING, INC.",debt_collection,Debt Collection,2,1.0,0,0,169.5
FIFTH THIRD FINANCIAL CORPORATION,credit_reporting,Credit Reporting,1,1.0,0,0,131.0
FIFTH THIRD FINANCIAL CORPORATION,debt_collection,Debt Collection,1,1.0,0,0,107.0
FIFTH THIRD FINANCIAL CORPORATION,mortgage,Mortgage,1,1.0,0,1,366.0
"FIRST CITIZENS BANCSHARES, INC.",bank_account,Bank Account,1,1.0,0,0,272.0
"FIRST CITIZENS BANCSHARES, INC.",mortgage,Mortgage,2,1.0,0,1,312.0
FIRST NATIONAL BANK OF OMAHA,credit_card_or_prepaid_card,Credit Card / Prepaid Card,3,1.0,0,1,240.0
FIRST NATIONAL BANK OF OMAHA,mortgage,Mortgage,1,1.0,0,0,154.0
FISERV INC.,debt_collection,Debt Collection,1,1.0,0,1,1055.0
"FLAGSTAR BANK, FSB",mortgage,Mortgage,4,1.0,0,0,236.0
FORD MOTOR CREDIT CO.,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,1,544.0
"Fay Servicing, LLC",mortgage,Mortgage,3,1.0,0,2,292.6666666666667
"Fidelity National Information Services, Inc. (FNIS)",bank_account,Bank Account,1,1.0,0,0,270.0
"Fidelity National Information Services, Inc. (FNIS)",credit_reporting,Credit Reporting,1,1.0,0,0,159.0
Finance of America Mortgage LLC,mortgage,Mortgage,1,1.0,0,1,452.0
Financial Business and Consumer Solutions.,debt_collection,Debt Collection,1,1.0,0,0,223.0
"Financial Credit Service, Inc.",debt_collection,Debt Collection,1,0.0,1,1,357.0
First Associates Loan Servicing LLC,student_loan,Student Loan,1,1.0,0,0,241.0
First Data Corporation,credit_reporting,Credit Reporting,1,1.0,0,0,292.0
FirstPoint Collection Resources,debt_collection,Debt Collection,1,1.0,0,0,108.0
Flandreau Santee Sioux Tribe,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,0,70.0
Franklin Credit Management Corporation,mortgage,Mortgage,1,1.0,0,0,209.0
Freedom Mortgage Company,mortgage,Mortgage,3,1.0,0,0,188.33333333333334
"Frontline Asset Strategies, LLC",debt_collection,Debt Collection,1,1.0,0,0,8.0
"GLA Collection Company, Inc.",debt_collection,Debt Collection,1,1.0,0,0,294.0
"GLOBAL CLIENT SOLUTIONS, LLC",student_loan,Student Loan,1,1.0,0,0,173.0
GREAT LAKES,student_loan,Student Loan,2,1.0,0,1,343.5
"GVA Holdings, LLC",payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,2,1.0,0,0,73.5
"General Motors Financial Company, Inc.",credit_reporting,Credit Reporting,3,1.0,0,1,120.33333333333333
"General Motors Financial Company, Inc.",vehicle_loan_or_lease,Vehicle Loan / Lease,3,1.0,0,1,239.33333333333334
"Global Equity Finance, Inc.",mortgage,Mortgage,1,0.0,1,1,1093.0
"Gurstel Law Firm, P.C.",debt_collection,Debt Collection,1,1.0,0,1,384.0
"HCFS Health Care Financial Services, Inc.",debt_collection,Debt Collection,1,1.0,0,1,338.0
HIGHER EDUCATION STUDENT ASSISTANCE AUTHORITY (HESAA),student_loan,Student Loan,1,1.0,0,0,202.0
HSBC NORTH AMERICA HOLDINGS INC.,bank_account,Bank Account,3,1.0,0,0,197.66666666666666
HSBC NORTH AMERICA HOLDINGS INC.,credit_card_or_prepaid_card,Credit Card / Prepaid Card,1,1.0,0,1,375.0
HSBC NORTH AMERICA HOLDINGS INC.,debt_collection,Debt Collection,2,1.0,0,1,306.0
HSBC NORTH AMERICA HOLDINGS INC.,mortgage,Mortgage,1,1.0,0,0,190.0
"HUNTINGTON NATIONAL BANK, THE",mortgage,Mortgage,1,1.0,0,0,170.0
"Harpeth Financial Services, LLC",payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,0,103.0
"Helvey & Associates, Inc., Warsaw, IN Branch",debt_collection,Debt Collection,1,1.0,0,0,155.0
"Herbert P. Sears Co., Inc.",debt_collection,Debt Collection,1,1.0,0,1,668.0
Hillcrest Davidson & Assoc,debt_collection,Debt Collection,1,1.0,0,1,304.0
"Home Loan Center, Inc.",money_transfer,Money Transfer,1,1.0,0,0,110.0
Home Point Financial Corporation,mortgage,Mortgage,1,1.0,0,1,411.0
"HomeTown Lenders, LLC",mortgage,Mortgage,1,1.0,0,0,179.0
"I.Q. DATA INTERNATIONAL, INC.",debt_collection,Debt Collection,3,1.0,0,0,157.0
"ID Analytics, Inc.",credit_reporting,Credit Reporting,2,1.0,0,0,166.0
Instarem PTE Limited,money_transfer,Money Transfer,1,1.0,0,1,327.0
"JH Portfolio Debt Equities, LLC",debt_collection,Debt Collection,1,1.0,0,0,9.0
JPMORGAN CHASE & CO.,bank_account,Bank Account,14,1.0,0,6,275.35714285714283
JPMORGAN CHASE & CO.,credit_card_or_prepaid_card,Credit Card / Prepaid Card,18,1.0,0,5,291.5
JPMORGAN CHASE & CO.,credit_reporting,Credit Reporting,3,1.0,0,0,173.33333333333334
JPMORGAN CHASE & CO.,debt_collection,Debt Collection,3,1.0,0,0,69.0
JPMORGAN CHASE & CO.,money_transfer,Money Transfer,3,1.0,0,1,325.0
JPMORGAN CHASE & CO.,mortgage,Mortgage,2,1.0,0,1,256.0
JPMORGAN CHASE & CO.,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,1,1278.0
"Jim Bottin Enterprises, Inc",debt_collection,Debt Collection,1,1.0,0,1,476.0
"Key 2 Recovery, Inc.",debt_collection,Debt Collection,1,1.0,0,0,148.0
"LAKEVIEW LOAN SERVICING, LLC",mortgage,Mortgage,2,1.0,0,1,335.5
"LDF Holdings, LLC",payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,0,251.0
LPSG,debt_collection,Debt Collection,1,1.0,0,0,249.0
Law Office of Harris & Zide,debt_collection,Debt Collection,1,1.0,0,0,57.0
"LoanCare, LLC",mortgage,Mortgage,2,1.0,0,1,1129.5
